11/12/2012 00:00,GLASSHOUSE STREET,51.5103865,-0.1382435,529296,180692,Yes,NO,NO,NO
14/05/2013 00:00,HANOVER PLACE,51.5131968,-0.1230222,530344,181032,NO,NO,NO,Yes
20/08/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,Yes,NO,NO,NO
13/11/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,NO,Yes,NO,NO
18/11/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,Yes,NO,NO,NO
22/10/2012 00:00,UPPER MONTAGU STREET,51.5202569,-0.160541,527721,181751,Yes,NO,NO,NO
18/04/2013 00:00,MARYLEBONE HIGH STREET,51.5198494,-0.1517791,528330,181721,NO,NO,Yes,NO
21/05/2012 00:00,HINDE STREET,51.5169422,-0.1512996,528372,181398,Yes,NO,NO,NO
28/08/2013 00:00,HEAD'S MEWS,51.5152696,-0.1972641,525187,181133,NO,Yes,NO,NO
31/08/2012 00:00,NORTHUMBERLAND PLACE,51.5173102,-0.1966358,525225,181361,NO,Yes,NO,NO
19/09/2013 00:00,STABLE YARD,51.503913,-0.1397441,529210,179970,Yes,NO,NO,Yes
19/09/2012 00:00,CRAWFORD PLACE,51.5176551,-0.1666707,527303,181451,NO,Yes,NO,NO
19/09/2012 00:00,CRAWFORD PLACE,51.5176551,-0.1666707,527303,181451,NO,Yes,NO,NO
18/07/2013 00:00,CHEVAL PLACE,51.4992145,-0.1657399,527419,179402,NO,Yes,NO,Yes
18/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,Yes
08/01/2013 00:00,WELLINGTON STREET,51.5115022,-0.1194025,530600,180850,NO,Yes,NO,NO
02/05/2012 00:00,CHANCERY LANE,51.5149858,-0.1114265,531144,181251,NO,NO,NO,Yes
19/02/2013 00:00,WOODFIELD ROAD,51.5229529,-0.2010112,524906,181981,Yes,NO,NO,NO
27/08/2013 00:00,HEAD'S MEWS,51.5152696,-0.1972641,525187,181133,NO,Yes,NO,NO
27/08/2013 00:00,HEAD'S MEWS,51.5152696,-0.1972641,525187,181133,NO,NO,NO,Yes
25/03/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
13/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,Yes,NO,Yes
13/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,Yes,NO,Yes
13/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,Yes,NO,NO
17/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
17/09/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
07/08/2012 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
12/04/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,NO,NO,NO,Yes
15/07/2013 00:00,LUMLEY COURT,51.510225,-0.1221933,530410,180703,Yes,NO,NO,NO
